Command line: spell_chain.py
Total duration: 187.91s
File: G:\Autres\DofusDamageCalculator\stats.py
File duration: 56.683s (30.16%)
Line #|      Hits|         Time| Time per hit|      %|Source code
------+----------+-------------+-------------+-------+-----------
     1|         2|   0.00099206|   0.00049603|  0.00%|from enum import Enum
     2|         1|            0|            0|  0.00%|import json
     3|         1|            0|            0|  0.00%|import os
     4|         1|            0|            0|  0.00%|import re
     5|         1|            0|            0|  0.00%|from typing import Dict
     6|         1|            0|            0|  0.00%|from uuid import uuid1
(call)|         1|   0.00996876|   0.00996876|  0.01%|# <frozen importlib._bootstrap>:1002 _find_and_load
     7|         0|            0|            0|  0.00%|
     8|         0|            0|            0|  0.00%|
     9|         3|            0|            0|  0.00%|class Characteristics(str, Enum):
(call)|         1|            0|            0|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:164 __prepare__
(call)|         2|            0|            0|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:88 __setitem__
(call)|         1|  0.000997782|  0.000997782|  0.00%|# G:\Autres\DofusDamageCalculator\stats.py:9 Characteristics
(call)|         1|   0.00199437|   0.00199437|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:179 __new__
    10|         1|            0|            0|  0.00%|    STRENGTH = 0
(call)|         1|  0.000997782|  0.000997782|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:88 __setitem__
    11|         1|            0|            0|  0.00%|    INTELLIGENCE = 1
(call)|         1|            0|            0|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:88 __setitem__
    12|         1|            0|            0|  0.00%|    LUCK = 2
