         25855683 function calls (25855493 primitive calls) in 11.397 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     26/1    0.002    0.000   11.782   11.782 {built-in method builtins.exec}
        1    0.001    0.001   11.782   11.782 spell_chain.py:1(<module>)
        1    0.124    0.124   11.761   11.761 spell_chain.py:115(get_detailed_damages)
    19120    0.383    0.000   11.322    0.001 spell_chain.py:68(_get_detailed_damages_of_permutation)
    19120    0.065    0.000    6.158    0.000 spell.py:226(get_damages_and_buffs_with_states)
    19120    0.356    0.000    4.914    0.000 spell.py:188(get_detailed_damages)
   382400    0.598    0.000    3.987    0.000 damages.py:5(compute_damage)
    57360    1.125    0.000    3.428    0.000 stats.py:92(__add__)
   382400    0.214    0.000    2.527    0.000 damage_parameters.py:32(get_base_damages_dict)
   382400    1.063    0.000    2.313    0.000 damage_parameters.py:34(<dictcomp>)
   172088    0.143    0.000    1.830    0.000 stats.py:34(__init__)
   172088    0.863    0.000    1.687    0.000 stats.py:43(_fill_empty_dicts)
  2370951    0.882    0.000    1.556    0.000 enum.py:358(__call__)
  6023072    1.175    0.000    1.175    0.000 enum.py:438(<genexpr>)
  2103200    0.520    0.000    0.679    0.000 stats.py:140(get_damage)
  2370951    0.674    0.000    0.674    0.000 enum.py:670(__new__)
    76480    0.049    0.000    0.520    0.000 damage_parameters.py:28(get_resistances_dict)
    76480    0.220    0.000    0.472    0.000 damage_parameters.py:30(<dictcomp>)
   803040    0.312    0.000    0.430    0.000 stats.py:146(set_damage)
    38240    0.024    0.000    0.423    0.000 spell.py:17(<lambda>)
    57360    0.156    0.000    0.412    0.000 damage_parameters.py:51(__add__)
    19120    0.117    0.000    0.408    0.000 stats.py:194(from_existing)
  4991953    0.386    0.000    0.386    0.000 {built-in method builtins.isinstance}
    19127    0.044    0.000    0.347    0.000 <string>:2(__init__)
    76481    0.122    0.000    0.317    0.000 damage_parameters.py:187(from_existing)
    19120    0.159    0.000    0.277    0.000 spell.py:31(update_damages_from_existing)
   630992    0.252    0.000    0.252    0.000 enum.py:434(__iter__)
    19127    0.012    0.000    0.225    0.000 spell_chain.py:17(<lambda>)
   229440    0.172    0.000    0.207    0.000 stats.py:124(set_characteristic)
        1    0.098    0.098    0.192    0.192 spell_chain.py:33(_get_permutations)
   535360    0.146    0.000    0.189    0.000 stats.py:118(get_characteristic)
    38240    0.034    0.000    0.168    0.000 spell.py:15(<lambda>)
    76480    0.070    0.000    0.146    0.000 {built-in method builtins.sum}
    38240    0.022    0.000    0.122    0.000 spell.py:18(<lambda>)
    38240    0.071    0.000    0.116    0.000 spell.py:15(<dictcomp>)
   458880    0.075    0.000    0.075    0.000 spell.py:207(<genexpr>)
    19127    0.012    0.000    0.063    0.000 spell_chain.py:18(<lambda>)
   557626    0.053    0.000    0.053    0.000 spell_chain.py:54(<genexpr>)
    76503    0.035    0.000    0.048    0.000 types.py:171(__get__)
        1    0.026    0.026    0.040    0.040 spell_chain.py:143(<dictcomp>)
    57360    0.033    0.000    0.037    0.000 stats.py:159(set_bonus_crit_chance)
      271    0.010    0.000    0.037    0.000 {method 'extend' of 'list' objects}
   172089    0.035    0.000    0.035    0.000 damage_parameters.py:19(<lambda>)
