         15454404 function calls (15454214 primitive calls) in 7.478 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     26/1    0.002    0.000    7.859    7.859 {built-in method builtins.exec}
        1    0.001    0.001    7.859    7.859 spell_chain.py:1(<module>)
        1    0.121    0.121    7.837    7.837 spell_chain.py:115(get_detailed_damages)
    19120    0.381    0.000    7.390    0.000 spell_chain.py:68(_get_detailed_damages_of_permutation)
    19120    0.065    0.000    4.283    0.000 spell.py:226(get_damages_and_buffs_with_states)
    19120    0.350    0.000    3.026    0.000 spell.py:188(get_detailed_damages)
   382400    0.586    0.000    2.093    0.000 damages.py:5(compute_damage)
   172088    0.143    0.000    1.855    0.000 stats.py:34(__init__)
   172088    0.867    0.000    1.712    0.000 stats.py:43(_fill_empty_dicts)
    57360    0.465    0.000    1.364    0.000 stats.py:92(__add__)
  6023072    1.178    0.000    1.178    0.000 enum.py:438(<genexpr>)
    76480    0.056    0.000    0.590    0.000 damage_parameters.py:28(get_resistances_dict)
   382400    0.259    0.000    0.569    0.000 damage_parameters.py:36(get_base_damage)
    76480    0.249    0.000    0.533    0.000 damage_parameters.py:30(<dictcomp>)
    38240    0.024    0.000    0.432    0.000 spell.py:17(<lambda>)
    57360    0.157    0.000    0.417    0.000 damage_parameters.py:54(__add__)
    19120    0.119    0.000    0.410    0.000 stats.py:194(from_existing)
   458951    0.193    0.000    0.350    0.000 enum.py:358(__call__)
   764823    0.257    0.000    0.349    0.000 types.py:171(__get__)
    19127    0.044    0.000    0.346    0.000 <string>:2(__init__)
    76481    0.124    0.000    0.320    0.000 damage_parameters.py:190(from_existing)
    19120    0.165    0.000    0.287    0.000 spell.py:31(update_damages_from_existing)
   630992    0.248    0.000    0.248    0.000 enum.py:434(__iter__)
    19127    0.012    0.000    0.225    0.000 spell_chain.py:17(<lambda>)
        1    0.103    0.103    0.203    0.203 spell_chain.py:33(_get_permutations)
   497120    0.137    0.000    0.179    0.000 stats.py:140(get_damage)
    38240    0.033    0.000    0.170    0.000 spell.py:15(<lambda>)
   458951    0.157    0.000    0.157    0.000 enum.py:670(__new__)
    76480    0.069    0.000    0.146    0.000 {built-in method builtins.sum}
    38240    0.023    0.000    0.122    0.000 spell.py:18(<lambda>)
    38240    0.072    0.000    0.120    0.000 spell.py:15(<dictcomp>)
   764823    0.091    0.000    0.091    0.000 enum.py:792(value)
   458880    0.077    0.000    0.077    0.000 spell.py:207(<genexpr>)
   804674    0.077    0.000    0.077    0.000 {built-in method builtins.isinstance}
    19127    0.012    0.000    0.063    0.000 spell_chain.py:18(<lambda>)
   557626    0.058    0.000    0.058    0.000 spell_chain.py:54(<genexpr>)
      271    0.010    0.000    0.037    0.000 {method 'extend' of 'list' objects}
        1    0.023    0.023    0.037    0.037 spell_chain.py:143(<dictcomp>)
   172089    0.036    0.000    0.036    0.000 damage_parameters.py:19(<lambda>)
   152984    0.035    0.000    0.035    0.000 {built-in method builtins.max}
        1    0.020    0.020    0.034    0.034 spell_chain.py:129(<listcomp>)
    76480    0.024    0.000    0.031    0.000 stats.py:118(get_characteristic)
   172089    0.030    0.000    0.030    0.000 damage_parameters.py:15(<lambda>)
   172089    0.028    0.000    0.028    0.000 damage_parameters.py:13(<lambda>)
    85434    0.027    0.000    0.027    0.000 spell_chain.py:48(<genexpr>)
   124341    0.026    0.000    0.026    0.000 spell_chain.py:104(<genexpr>)
   172089    0.026    0.000    0.026    0.000 damage_parameters.py:18(<lambda>)
   172089    0.024    0.000    0.024    0.000 damage_parameters.py:11(<lambda>)
        2    0.020    0.010    0.022    0.011 {built-in method builtins.sorted}
     13/4    0.000    0.000    0.016    0.004 <frozen importlib._bootstrap>:1002(_find_and_load)
     13/4    0.000    0.000    0.016    0.004 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
   124342    0.015    0.000    0.015    0.000 spell_chain.py:124(<genexpr>)
     13/4    0.000    0.000    0.015    0.004 <frozen importlib._bootstrap>:659(_load_unlocked)
     10/3    0.000    0.000    0.015    0.005 <frozen importlib._bootstrap_external>:844(exec_module)
   124342    0.014    0.000    0.014    0.000 spell_chain.py:129(<genexpr>)
    19120    0.014    0.000    0.014    0.000 spell_chain.py:69(<listcomp>)
   124341    0.014    0.000    0.014    0.000 spell_chain.py:143(<genexpr>)
     17/5    0.000    0.000    0.014    0.003 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
    76633    0.012    0.000    0.012    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.010    0.010 damage_parameters.py:1(<module>)
    38240    0.010    0.000    0.010    0.000 {method 'copy' of 'dict' objects}
    38240    0.010    0.000    0.010    0.000 spell.py:16(<lambda>)
        1    0.000    0.000    0.009    0.009 stats.py:1(<module>)
77262/77228    0.008    0.000    0.008    0.000 {built-in method builtins.len}
    19120    0.008    0.000    0.008    0.000 spell_chain.py:77(<dictcomp>)
    38240    0.008    0.000    0.008    0.000 spell.py:19(<lambda>)
    19127    0.006    0.000    0.006    0.000 spell_chain.py:15(<lambda>)
    38251    0.006    0.000    0.006    0.000 {method 'add' of 'set' objects}
    38277    0.005    0.000    0.005    0.000 {method 'items' of 'dict' objects}
    19127    0.005    0.000    0.005    0.000 spell_chain.py:13(<lambda>)
    19120    0.005    0.000    0.005    0.000 spell_chain.py:78(<dictcomp>)
        1    0.000    0.000    0.005    0.005 spell_chain.py:150(<listcomp>)
        7    0.000    0.000    0.005    0.001 spell.py:481(from_file)
    19120    0.004    0.000    0.004    0.000 {method 'update' of 'set' objects}
    19127    0.004    0.000    0.004    0.000 spell_chain.py:19(<lambda>)
        5    0.000    0.000    0.004    0.001 dataclasses.py:998(dataclass)
        5    0.000    0.000    0.004    0.001 dataclasses.py:1012(wrap)
       10    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:916(get_code)
        5    0.000    0.000    0.004    0.001 dataclasses.py:809(_process_class)
        1    0.000    0.000    0.004    0.004 __init__.py:1(<module>)
       57    0.004    0.000    0.004    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.003    0.003 spell.py:1(<module>)
       13    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:901(_find_spec)
       11    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
       11    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
       19    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
       15    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
       15    0.000    0.000    0.002    0.000 dataclasses.py:377(_create_fn)
       50    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        1    0.000    0.000    0.002    0.002 uuid.py:1(<module>)
       22    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
    19120    0.002    0.000    0.002    0.000 spell_chain.py:143(<lambda>)
    19872    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
       16    0.000    0.000    0.002    0.000 {built-in method builtins.__build_class__}
       13    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
        5    0.000    0.000    0.002    0.000 dataclasses.py:489(_init_fn)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        7    0.000    0.000    0.001    0.000 genericpath.py:27(isfile)
       10    0.000    0.000    0.001    0.000 re.py:289(_compile)
        9    0.000    0.000    0.001    0.000 sre_compile.py:759(compile)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        1    0.000    0.000    0.001    0.001 {built-in method builtins.__import__}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
        1    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
        7    0.001    0.000    0.001    0.000 {built-in method nt.access}
        6    0.000    0.000    0.001    0.000 re.py:250(compile)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       15    0.001    0.000    0.001    0.000 {built-in method io.open_code}
       99    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       15    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        9    0.000    0.000    0.001    0.000 sre_parse.py:939(parse)
     16/9    0.000    0.000    0.001    0.000 sre_parse.py:435(_parse_sub)
        5    0.000    0.000    0.001    0.000 dataclasses.py:539(_repr_fn)
        3    0.000    0.000    0.001    0.000 enum.py:179(__new__)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
     18/9    0.000    0.000    0.001    0.000 sre_parse.py:493(_parse)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
        5    0.000    0.000    0.000    0.000 inspect.py:3111(signature)
        5    0.000    0.000    0.000    0.000 inspect.py:2859(from_callable)
       10    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
       45    0.000    0.000    0.000    0.000 typing.py:271(inner)
     10/5    0.000    0.000    0.000    0.000 inspect.py:2246(_signature_from_callable)
