         6448772 function calls (6448576 primitive calls) in 3.094 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     27/1    0.002    0.000    3.435    3.435 {built-in method builtins.exec}
        1    0.001    0.001    3.435    3.435 spell_chain.py:1(<module>)
        1    0.094    0.094    3.413    3.413 spell_chain.py:115(get_detailed_damages)
    19120    0.311    0.000    3.012    0.000 spell_chain.py:68(_get_detailed_damages_of_permutation)
    19120    0.054    0.000    1.661    0.000 spell.py:227(get_damages_and_buffs_with_states)
    19120    0.265    0.000    1.222    0.000 spell.py:189(get_detailed_damages)
   382400    0.371    0.000    0.667    0.000 damages.py:6(compute_damage)
    57360    0.121    0.000    0.342    0.000 damage_parameters.py:51(__add__)
   172088    0.194    0.000    0.310    0.000 stats.py:36(__init__)
    57360    0.191    0.000    0.307    0.000 stats.py:87(__add__)
    76481    0.100    0.000    0.273    0.000 damage_parameters.py:187(from_existing)
        1    0.095    0.095    0.189    0.189 spell_chain.py:33(_get_permutations)
   497120    0.125    0.000    0.163    0.000 stats.py:135(get_damage)
    19127    0.039    0.000    0.152    0.000 <string>:2(__init__)
    76480    0.064    0.000    0.129    0.000 {built-in method builtins.sum}
    38240    0.020    0.000    0.107    0.000 spell.py:19(<lambda>)
    38240    0.020    0.000    0.086    0.000 spell.py:18(<lambda>)
    19120    0.044    0.000    0.078    0.000 stats.py:191(from_existing)
   172088    0.073    0.000    0.073    0.000 stats.py:38(<listcomp>)
    19120    0.073    0.000    0.073    0.000 spell.py:32(update_damages_from_existing)
   804651    0.068    0.000    0.068    0.000 {built-in method builtins.isinstance}
   458880    0.065    0.000    0.065    0.000 spell.py:208(<genexpr>)
   382400    0.062    0.000    0.062    0.000 damage_parameters.py:33(get_base_damage)
    19127    0.011    0.000    0.056    0.000 spell_chain.py:18(<lambda>)
    38240    0.022    0.000    0.053    0.000 spell.py:16(<lambda>)
   557626    0.053    0.000    0.053    0.000 spell_chain.py:54(<genexpr>)
    19127    0.010    0.000    0.045    0.000 spell_chain.py:17(<lambda>)
   172088    0.043    0.000    0.043    0.000 stats.py:37(<listcomp>)
        1    0.024    0.024    0.039    0.039 spell_chain.py:143(<dictcomp>)
      271    0.010    0.000    0.037    0.000 {method 'extend' of 'list' objects}
   124341    0.034    0.000    0.034    0.000 spell_chain.py:104(<genexpr>)
        1    0.019    0.019    0.032    0.032 spell_chain.py:129(<listcomp>)
   172089    0.031    0.000    0.031    0.000 damage_parameters.py:20(<lambda>)
    38240    0.031    0.000    0.031    0.000 spell.py:16(<listcomp>)
   152986    0.030    0.000    0.030    0.000 {built-in method builtins.max}
    76480    0.022    0.000    0.028    0.000 stats.py:113(get_characteristic)
    85434    0.027    0.000    0.027    0.000 spell_chain.py:48(<genexpr>)
   172089    0.025    0.000    0.025    0.000 damage_parameters.py:16(<lambda>)
   172089    0.023    0.000    0.023    0.000 damage_parameters.py:14(<lambda>)
   172089    0.022    0.000    0.022    0.000 damage_parameters.py:19(<lambda>)
   172089    0.021    0.000    0.021    0.000 damage_parameters.py:12(<lambda>)
        2    0.018    0.009    0.019    0.010 {built-in method builtins.sorted}
     14/4    0.000    0.000    0.018    0.005 <frozen importlib._bootstrap>:1002(_find_and_load)
     14/4    0.000    0.000    0.018    0.005 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
     14/4    0.000    0.000    0.018    0.004 <frozen importlib._bootstrap>:659(_load_unlocked)
     11/3    0.000    0.000    0.017    0.006 <frozen importlib._bootstrap_external>:844(exec_module)
     18/5    0.000    0.000    0.017    0.003 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
   124342    0.015    0.000    0.015    0.000 spell_chain.py:124(<genexpr>)
   124341    0.015    0.000    0.015    0.000 spell_chain.py:143(<genexpr>)
    76480    0.014    0.000    0.014    0.000 damage_parameters.py:30(get_resistance)
        1    0.000    0.000    0.014    0.014 damage_parameters.py:1(<module>)
   124342    0.013    0.000    0.013    0.000 spell_chain.py:129(<genexpr>)
    19120    0.011    0.000    0.011    0.000 spell_chain.py:69(<listcomp>)
    76635    0.010    0.000    0.010    0.000 {method 'get' of 'dict' objects}
    38240    0.009    0.000    0.009    0.000 spell.py:17(<lambda>)
    38240    0.009    0.000    0.009    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.008    0.008 stats.py:1(<module>)
77282/77248    0.007    0.000    0.007    0.000 {built-in method builtins.len}
       11    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap_external>:916(get_code)
    38240    0.007    0.000    0.007    0.000 spell.py:20(<lambda>)
    19120    0.006    0.000    0.006    0.000 spell_chain.py:77(<dictcomp>)
       16    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
    38251    0.005    0.000    0.005    0.000 {method 'add' of 'set' objects}
    19127    0.005    0.000    0.005    0.000 spell_chain.py:15(<lambda>)
    38277    0.005    0.000    0.005    0.000 {method 'items' of 'dict' objects}
       16    0.004    0.000    0.004    0.000 {built-in method io.open_code}
    19120    0.004    0.000    0.004    0.000 spell_chain.py:78(<dictcomp>)
    19127    0.004    0.000    0.004    0.000 spell_chain.py:13(<lambda>)
        5    0.000    0.000    0.004    0.001 dataclasses.py:998(dataclass)
        5    0.000    0.000    0.004    0.001 dataclasses.py:1012(wrap)
        5    0.000    0.000    0.004    0.001 dataclasses.py:809(_process_class)
        1    0.000    0.000    0.004    0.004 __init__.py:1(<module>)
    19127    0.004    0.000    0.004    0.000 spell_chain.py:19(<lambda>)
    19120    0.003    0.000    0.003    0.000 {method 'update' of 'set' objects}
       14    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:901(_find_spec)
       12    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
       12    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
        1    0.000    0.000    0.003    0.003 spell.py:1(<module>)
       20    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
       60    0.002    0.000    0.002    0.000 {built-in method nt.stat}
       53    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
       15    0.000    0.000    0.002    0.000 dataclasses.py:377(_create_fn)
        1    0.000    0.000    0.002    0.002 uuid.py:1(<module>)
    19879    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
    19120    0.002    0.000    0.002    0.000 spell_chain.py:143(<lambda>)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
       16    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
       10    0.000    0.000    0.001    0.000 re.py:289(_compile)
        1    0.000    0.000    0.001    0.001 spell_chain.py:150(<listcomp>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        7    0.000    0.000    0.001    0.000 spell.py:481(from_file)
        1    0.000    0.000    0.001    0.001 {built-in method builtins.__import__}
        5    0.000    0.000    0.001    0.000 dataclasses.py:489(_init_fn)
        9    0.000    0.000    0.001    0.000 sre_compile.py:759(compile)
        6    0.000    0.000    0.001    0.000 re.py:250(compile)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
        1    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      104    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
       23    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        9    0.000    0.000    0.001    0.000 sre_parse.py:939(parse)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
     16/9    0.000    0.000    0.001    0.000 sre_parse.py:435(_parse_sub)
       16    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
     18/9    0.000    0.000    0.001    0.000 sre_parse.py:493(_parse)
        5    0.000    0.000    0.001    0.000 dataclasses.py:539(_repr_fn)
        5    0.000    0.000    0.001    0.000 dataclasses.py:575(_cmp_fn)
        5    0.000    0.000    0.001    0.000 inspect.py:3111(signature)
        5    0.000    0.000    0.001    0.000 inspect.py:2859(from_callable)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
     10/5    0.000    0.000    0.000    0.000 inspect.py:2246(_signature_from_callable)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
       11    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
