         25855683 function calls (25855493 primitive calls) in 11.474 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  6023072    1.207    0.000    1.207    0.000 enum.py:438(<genexpr>)
    57360    1.105    0.000    3.419    0.000 stats.py:92(__add__)
   382400    1.078    0.000    2.331    0.000 damage_parameters.py:34(<dictcomp>)
  2370951    0.868    0.000    1.566    0.000 enum.py:358(__call__)
   172088    0.861    0.000    1.706    0.000 stats.py:43(_fill_empty_dicts)
  2370951    0.698    0.000    0.698    0.000 enum.py:670(__new__)
   382400    0.604    0.000    4.023    0.000 damages.py:5(compute_damage)
  2103200    0.521    0.000    0.679    0.000 stats.py:140(get_damage)
  4991953    0.382    0.000    0.382    0.000 {built-in method builtins.isinstance}
    19120    0.380    0.000   11.404    0.001 spell_chain.py:68(_get_detailed_damages_of_permutation)
    19120    0.360    0.000    4.963    0.000 spell.py:188(get_detailed_damages)
   803040    0.312    0.000    0.427    0.000 stats.py:146(set_damage)
   630992    0.254    0.000    0.254    0.000 enum.py:434(__iter__)
    76480    0.225    0.000    0.482    0.000 damage_parameters.py:30(<dictcomp>)
   382400    0.216    0.000    2.547    0.000 damage_parameters.py:32(get_base_damages_dict)
   229440    0.174    0.000    0.209    0.000 stats.py:124(set_characteristic)
    19120    0.168    0.000    0.290    0.000 spell.py:31(update_damages_from_existing)
    57360    0.159    0.000    0.422    0.000 damage_parameters.py:51(__add__)
   535360    0.151    0.000    0.194    0.000 stats.py:118(get_characteristic)
   172088    0.146    0.000    1.853    0.000 stats.py:34(__init__)
    76481    0.129    0.000    0.326    0.000 damage_parameters.py:187(from_existing)
        1    0.120    0.120   11.845   11.845 spell_chain.py:115(get_detailed_damages)
    19120    0.117    0.000    0.410    0.000 stats.py:194(from_existing)
        1    0.100    0.100    0.200    0.200 spell_chain.py:33(_get_permutations)
   458880    0.081    0.000    0.081    0.000 spell.py:207(<genexpr>)
    38240    0.073    0.000    0.119    0.000 spell.py:15(<dictcomp>)
    76480    0.068    0.000    0.149    0.000 {built-in method builtins.sum}
    19120    0.065    0.000    6.230    0.000 spell.py:226(get_damages_and_buffs_with_states)
   557626    0.055    0.000    0.055    0.000 spell_chain.py:54(<genexpr>)
    76480    0.049    0.000    0.531    0.000 damage_parameters.py:28(get_resistances_dict)
    19127    0.045    0.000    0.351    0.000 <string>:2(__init__)
    76503    0.036    0.000    0.047    0.000 types.py:171(__get__)
   172089    0.035    0.000    0.035    0.000 damage_parameters.py:19(<lambda>)
    38240    0.034    0.000    0.171    0.000 spell.py:15(<lambda>)
   152984    0.033    0.000    0.033    0.000 {built-in method builtins.max}
    57360    0.032    0.000    0.036    0.000 stats.py:159(set_bonus_crit_chance)
   172089    0.029    0.000    0.029    0.000 damage_parameters.py:15(<lambda>)
    85434    0.029    0.000    0.029    0.000 spell_chain.py:48(<genexpr>)
   124341    0.028    0.000    0.028    0.000 spell_chain.py:104(<genexpr>)
