         6448772 function calls (6448576 primitive calls) in 3.124 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   382400    0.373    0.000    0.672    0.000 damages.py:6(compute_damage)
    19120    0.304    0.000    3.032    0.000 spell_chain.py:68(_get_detailed_damages_of_permutation)
    19120    0.266    0.000    1.226    0.000 spell.py:189(get_detailed_damages)
    57360    0.204    0.000    0.325    0.000 stats.py:87(__add__)
   172088    0.200    0.000    0.325    0.000 stats.py:36(__init__)
   497120    0.128    0.000    0.165    0.000 stats.py:135(get_damage)
    57360    0.128    0.000    0.351    0.000 damage_parameters.py:51(__add__)
    76481    0.105    0.000    0.278    0.000 damage_parameters.py:187(from_existing)
        1    0.098    0.098    0.195    0.195 spell_chain.py:33(_get_permutations)
        1    0.095    0.095    3.442    3.442 spell_chain.py:115(get_detailed_damages)
   172088    0.080    0.000    0.080    0.000 stats.py:38(<listcomp>)
    19120    0.072    0.000    0.072    0.000 spell.py:32(update_damages_from_existing)
   804651    0.067    0.000    0.067    0.000 {built-in method builtins.isinstance}
   458880    0.064    0.000    0.064    0.000 spell.py:208(<genexpr>)
   382400    0.064    0.000    0.064    0.000 damage_parameters.py:33(get_base_damage)
    76480    0.062    0.000    0.126    0.000 {built-in method builtins.sum}
   557626    0.055    0.000    0.055    0.000 spell_chain.py:54(<genexpr>)
    19120    0.053    0.000    1.671    0.000 spell.py:227(get_damages_and_buffs_with_states)
    19120    0.048    0.000    0.084    0.000 stats.py:191(from_existing)
   172088    0.045    0.000    0.045    0.000 stats.py:37(<listcomp>)
    19127    0.036    0.000    0.150    0.000 <string>:2(__init__)
   172089    0.031    0.000    0.031    0.000 damage_parameters.py:20(<lambda>)
    38240    0.030    0.000    0.030    0.000 spell.py:16(<listcomp>)
   152986    0.029    0.000    0.029    0.000 {built-in method builtins.max}
    85434    0.027    0.000    0.027    0.000 spell_chain.py:48(<genexpr>)
   172089    0.026    0.000    0.026    0.000 damage_parameters.py:16(<lambda>)
        1    0.025    0.025    0.043    0.043 spell_chain.py:143(<dictcomp>)
   124341    0.023    0.000    0.023    0.000 spell_chain.py:104(<genexpr>)
   172089    0.023    0.000    0.023    0.000 damage_parameters.py:14(<lambda>)
   172089    0.023    0.000    0.023    0.000 damage_parameters.py:19(<lambda>)
    38240    0.023    0.000    0.053    0.000 spell.py:16(<lambda>)
    76480    0.022    0.000    0.027    0.000 stats.py:113(get_characteristic)
    38240    0.021    0.000    0.107    0.000 spell.py:19(<lambda>)
   172089    0.020    0.000    0.020    0.000 damage_parameters.py:12(<lambda>)
    38240    0.019    0.000    0.089    0.000 spell.py:18(<lambda>)
        1    0.018    0.018    0.031    0.031 spell_chain.py:129(<listcomp>)
   124341    0.018    0.000    0.018    0.000 spell_chain.py:143(<genexpr>)
        2    0.018    0.009    0.019    0.010 {built-in method builtins.sorted}
   124342    0.015    0.000    0.015    0.000 spell_chain.py:124(<genexpr>)
    76480    0.015    0.000    0.015    0.000 damage_parameters.py:30(get_resistance)
   124342    0.013    0.000    0.013    0.000 spell_chain.py:129(<genexpr>)
    19120    0.011    0.000    0.011    0.000 spell_chain.py:69(<listcomp>)
    19127    0.010    0.000    0.054    0.000 spell_chain.py:18(<lambda>)
      271    0.010    0.000    0.037    0.000 {method 'extend' of 'list' objects}
    19127    0.010    0.000    0.047    0.000 spell_chain.py:17(<lambda>)
    76635    0.010    0.000    0.010    0.000 {method 'get' of 'dict' objects}
    38240    0.009    0.000    0.009    0.000 {method 'copy' of 'dict' objects}
    38240    0.009    0.000    0.009    0.000 spell.py:17(<lambda>)
77282/77248    0.008    0.000    0.008    0.000 {built-in method builtins.len}
    38240    0.007    0.000    0.007    0.000 spell.py:20(<lambda>)
    19120    0.006    0.000    0.006    0.000 spell_chain.py:77(<dictcomp>)
    38251    0.005    0.000    0.005    0.000 {method 'add' of 'set' objects}
    38277    0.005    0.000    0.005    0.000 {method 'items' of 'dict' objects}
    19127    0.005    0.000    0.005    0.000 spell_chain.py:15(<lambda>)
    19120    0.004    0.000    0.004    0.000 spell_chain.py:78(<dictcomp>)
    19127    0.004    0.000    0.004    0.000 spell_chain.py:13(<lambda>)
    19127    0.004    0.000    0.004    0.000 spell_chain.py:19(<lambda>)
    19120    0.003    0.000    0.003    0.000 {method 'update' of 'set' objects}
       60    0.002    0.000    0.002    0.000 {built-in method nt.stat}
     27/1    0.002    0.000    3.461    3.461 {built-in method builtins.exec}
    19879    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
    19120    0.002    0.000    0.002    0.000 spell_chain.py:143(<lambda>)
        1    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
        1    0.001    0.001    3.461    3.461 spell_chain.py:1(<module>)
       16    0.001    0.000    0.001    0.000 {built-in method io.open_code}
       23    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      104    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
       16    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       11    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        7    0.000    0.000    0.000    0.000 {built-in method io.open}
     18/9    0.000    0.000    0.001    0.000 sre_parse.py:493(_parse)
       16    0.000    0.000    0.002    0.000 {built-in method builtins.__build_class__}
        7    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       20    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
        5    0.000    0.000    0.004    0.001 dataclasses.py:809(_process_class)
      344    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        3    0.000    0.000    0.000    0.000 enum.py:179(__new__)
       11    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:916(get_code)
        7    0.000    0.000    0.000    0.000 {built-in method nt.access}
        6    0.000    0.000    0.000    0.000 enum.py:582(_find_data_type)
