         4594132 function calls (4593936 primitive calls) in 2.683 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    19120    0.307    0.000    2.578    0.000 spell_chain.py:68(_get_detailed_damages_of_permutation)
    95600    0.302    0.000    0.340    0.000 damages.py:43(compute_damages)
   172088    0.199    0.000    0.315    0.000 stats.py:36(__init__)
    57360    0.197    0.000    0.316    0.000 stats.py:87(__add__)
    19120    0.161    0.000    0.792    0.000 spell.py:190(get_detailed_damages)
    57360    0.125    0.000    0.345    0.000 damage_parameters.py:51(__add__)
    76481    0.102    0.000    0.272    0.000 damage_parameters.py:187(from_existing)
        1    0.101    0.101    0.198    0.198 spell_chain.py:33(_get_permutations)
        1    0.097    0.097    2.994    2.994 spell_chain.py:115(get_detailed_damages)
   172088    0.074    0.000    0.074    0.000 stats.py:38(<listcomp>)
    19120    0.068    0.000    0.068    0.000 spell.py:33(update_damages_from_existing)
    76480    0.065    0.000    0.129    0.000 {built-in method builtins.sum}
   458880    0.064    0.000    0.064    0.000 spell.py:210(<genexpr>)
    19120    0.056    0.000    1.231    0.000 spell.py:229(get_damages_and_buffs_with_states)
   557626    0.055    0.000    0.055    0.000 spell_chain.py:54(<genexpr>)
    19120    0.045    0.000    0.080    0.000 stats.py:191(from_existing)
   172088    0.043    0.000    0.043    0.000 stats.py:37(<listcomp>)
   191226    0.038    0.000    0.038    0.000 {built-in method builtins.max}
    19127    0.037    0.000    0.148    0.000 <string>:2(__init__)
   172089    0.031    0.000    0.031    0.000 damage_parameters.py:20(<lambda>)
    38240    0.030    0.000    0.030    0.000 spell.py:17(<listcomp>)
    85434    0.027    0.000    0.027    0.000 spell_chain.py:48(<genexpr>)
   231051    0.026    0.000    0.026    0.000 {built-in method builtins.isinstance}
        1    0.026    0.026    0.041    0.041 spell_chain.py:143(<dictcomp>)
   172089    0.025    0.000    0.025    0.000 damage_parameters.py:16(<lambda>)
   124341    0.024    0.000    0.024    0.000 spell_chain.py:104(<genexpr>)
   172089    0.023    0.000    0.023    0.000 damage_parameters.py:14(<lambda>)
    38240    0.023    0.000    0.054    0.000 spell.py:17(<lambda>)
   172089    0.023    0.000    0.023    0.000 damage_parameters.py:19(<lambda>)
    38240    0.020    0.000    0.089    0.000 spell.py:19(<lambda>)
   172089    0.020    0.000    0.020    0.000 damage_parameters.py:12(<lambda>)
    38240    0.020    0.000    0.106    0.000 spell.py:20(<lambda>)
        1    0.019    0.019    0.032    0.032 spell_chain.py:129(<listcomp>)
        2    0.018    0.009    0.020    0.010 {built-in method builtins.sorted}
   124341    0.016    0.000    0.016    0.000 spell_chain.py:143(<genexpr>)
   124342    0.015    0.000    0.015    0.000 spell_chain.py:124(<genexpr>)
   124342    0.013    0.000    0.013    0.000 spell_chain.py:129(<genexpr>)
    19120    0.011    0.000    0.011    0.000 spell_chain.py:69(<listcomp>)
    19127    0.010    0.000    0.045    0.000 spell_chain.py:17(<lambda>)
    76635    0.010    0.000    0.010    0.000 {method 'get' of 'dict' objects}
    19127    0.010    0.000    0.053    0.000 spell_chain.py:18(<lambda>)
      271    0.010    0.000    0.037    0.000 {method 'extend' of 'list' objects}
    38240    0.010    0.000    0.010    0.000 {method 'copy' of 'dict' objects}
    38240    0.009    0.000    0.009    0.000 spell.py:18(<lambda>)
77282/77248    0.008    0.000    0.008    0.000 {built-in method builtins.len}
    38240    0.007    0.000    0.007    0.000 spell.py:21(<lambda>)
    19120    0.007    0.000    0.007    0.000 spell_chain.py:77(<dictcomp>)
    38251    0.006    0.000    0.006    0.000 {method 'add' of 'set' objects}
    38277    0.005    0.000    0.005    0.000 {method 'items' of 'dict' objects}
    19127    0.005    0.000    0.005    0.000 spell_chain.py:15(<lambda>)
       16    0.004    0.000    0.004    0.000 {built-in method io.open_code}
    19120    0.004    0.000    0.004    0.000 spell_chain.py:78(<dictcomp>)
    19127    0.004    0.000    0.004    0.000 spell_chain.py:13(<lambda>)
